;dominio;jornal;main;to_collect
305;blogs.publico.clix.pt/2019;Publico;FALSE;FALSE
306;blogs.publico.pt/2019;Publico;FALSE;FALSE
307;blogues.publico.pt/2019;Publico;FALSE;FALSE
308;bo.p24.publico.pt/2019;Publico;FALSE;FALSE
309;bussola.publico.pt/2019;Publico;FALSE;FALSE
310;cidades.publico.pt/2019;Publico;FALSE;FALSE
311;cientistas.publico.pt/2019;Publico;FALSE;FALSE
312;cinecartaz.publico.clix.pt/2019;Publico;FALSE;FALSE
313;cinecartaz.publico.pt/2019;Publico;FALSE;FALSE
314;classificados.publico.clix.pt/2019;Publico;FALSE;FALSE
315;coleccoes.publico.clix.pt/2019;Publico;FALSE;FALSE
316;coleccoes.publico.pt/2019;Publico;FALSE;FALSE
317;comentarios.publico.pt/2019;Publico;FALSE;FALSE
318;comunique.publico.pt/2019;Publico;FALSE;FALSE
319;convites.publico.pt/2019;Publico;FALSE;FALSE
320;data.publico.pt/2019;Publico;FALSE;FALSE
321;desporto.publico.clix.pt/2019;Publico;FALSE;FALSE
322;desporto.publico.pt/2019;Publico;FALSE;FALSE
323;dev.publico.pt/2019;Publico;FALSE;FALSE
324;digital.publico.clix.pt/2019;Publico;FALSE;FALSE
325;digital.publico.pt/2019;Publico;FALSE;FALSE
326;dossiers.publico.clix.pt/2019;Publico;FALSE;FALSE
327;dossiers.publico.pt/2019;Publico;FALSE;FALSE
328;ebookmagnum.publico.pt/2019;Publico;FALSE;FALSE
329;economia.publico.clix.pt/2019;Publico;FALSE;FALSE
330;economia.publico.pt/2019;Publico;FALSE;FALSE
331;ecosfera.publico.clix.pt/2019;Publico;FALSE;FALSE
332;ecosfera.publico.pt/2019;Publico;FALSE;FALSE
333;editorporumdia.publico.pt/2019;Publico;FALSE;FALSE
334;eleicoes.publico.clix.pt/2019;Publico;FALSE;FALSE
335;eleicoes.publico.pt/2019;Publico;FALSE;FALSE
336;eleicoes2009.publico.pt/2019;Publico;FALSE;FALSE
337;emprego.publico.pt/2019;Publico;FALSE;FALSE
338;erro.publico.pt/2019;Publico;FALSE;FALSE
339;euro2004.publico.pt/2019;Publico;FALSE;FALSE
340;euro2008.publico.clix.pt/2019;Publico;FALSE;FALSE
341;euro2008.publico.pt/2019;Publico;FALSE;FALSE
342;feed.p24.publico.pt/2019;Publico;FALSE;FALSE
343;fonts.publico.pt/2019;Publico;FALSE;FALSE
344;fugas.publico.pt/2019;Publico;FALSE;FALSE
345;galerias.publico.pt/2019;Publico;FALSE;FALSE
346;i.publico.pt/2019;Publico;FALSE;FALSE
347;imagens.publico.pt/2019;Publico;FALSE;FALSE
348;imagens0.publico.pt/2019;Publico;FALSE;FALSE
349;imagens1.publico.pt/2019;Publico;FALSE;FALSE
350;imagens2.publico.pt/2019;Publico;FALSE;FALSE
351;imagens3.publico.pt/2019;Publico;FALSE;FALSE
352;imagens4.publico.pt/2019;Publico;FALSE;FALSE
353;imagens5.publico.pt/2019;Publico;FALSE;FALSE
354;imagens6.publico.pt/2019;Publico;FALSE;FALSE
355;imagens7.publico.pt/2019;Publico;FALSE;FALSE
356;imagens8.publico.pt/2019;Publico;FALSE;FALSE
357;imagens9.publico.pt/2019;Publico;FALSE;FALSE
358;imobiliario.publico.pt/2019;Publico;FALSE;FALSE
359;inimigo.publico.clix.pt/2019;Publico;FALSE;FALSE
360;inimigo.publico.pt/2019;Publico;FALSE;FALSE
361;ipsilon.publico.clix.pt/2019;Publico;FALSE;FALSE
362;ipsilon.publico.pt/2019;Publico;FALSE;FALSE
363;jogos.publico.pt/2019;Publico;FALSE;FALSE
364;jornal.publico.clix.pt/2019;Publico;FALSE;FALSE
365;jornal.publico.pt/2019;Publico;FALSE;FALSE
366;lazer.publico.clix.pt/2019;Publico;FALSE;FALSE
367;lazer.publico.pt/2019;Publico;FALSE;FALSE
368;leiloes.publico.pt/2019;Publico;FALSE;FALSE
369;lifestyle.publico.pt/2019;Publico;FALSE;FALSE
370;linguistica.publico.clix.pt/2019;Publico;FALSE;FALSE
371;linguistica.publico.pt/2019;Publico;FALSE;FALSE
372;login.publico.pt/2019;Publico;FALSE;FALSE
373;loja.publico.clix.pt/2019;Publico;FALSE;FALSE
374;loja.publico.pt/2019;Publico;FALSE;FALSE
375;m.cinecartaz.publico.pt/2019;Publico;FALSE;FALSE
376;m.lazer.publico.pt/2019;Publico;FALSE;FALSE
377;m.publico.pt/2019;Publico;FALSE;FALSE
378;mkt.publico.pt/2019;Publico;FALSE;FALSE
379;mobile.publico.pt/2019;Publico;FALSE;FALSE
380;moblog.publico.pt/2019;Publico;FALSE;FALSE
381;movel.publico.pt/2019;Publico;FALSE;FALSE
382;multimedia.publico.pt/2019;Publico;FALSE;FALSE
383;news.publico.pt/2019;Publico;FALSE;FALSE
384;newspapper.publico.clix.pt/2019;Publico;FALSE;FALSE
385;noite.publico.pt/2019;Publico;FALSE;FALSE
386;olimpicos2008.publico.clix.pt/2019;Publico;FALSE;FALSE
387;olimpicos2008.publico.pt/2019;Publico;FALSE;FALSE
388;org-publico.pt/2019;Publico;FALSE;TRUE
389;p.publico.pt/2019;Publico;FALSE;FALSE
390;p3-front1.publico.pt/2019;Publico;FALSE;TRUE
391;p3-front2.publico.pt/2019;Publico;FALSE;TRUE
392;p3.publico.pt/2019;Publico;FALSE;FALSE
393;p3srv1.publico.pt/2019;Publico;FALSE;FALSE
394;parceiros.publico.pt/2019;Publico;FALSE;FALSE
395;patrocinar.publico.pt/2019;Publico;FALSE;FALSE
396;pdf.publico.pt/2019;Publico;FALSE;FALSE
397;pesquisas.publico.pt/2019;Publico;FALSE;FALSE
398;pet.publico.pt/2019;Publico;FALSE;FALSE
399;plus.publico.clix.pt/2019;Publico;FALSE;FALSE
400;plus.publico.pt/2019;Publico;FALSE;FALSE
401;podium.publico.clix.pt/2019;Publico;FALSE;FALSE
402;podium.publico.pt/2019;Publico;FALSE;FALSE
403;praias.publico.pt/2019;Publico;FALSE;FALSE
404;promocoes.publico.pt/2019;Publico;FALSE;FALSE
405;s.publico.pt/2019;Publico;FALSE;FALSE
406;sa.publico.pt/2019;Publico;FALSE;FALSE
407;secure.publico.clix.pt/2019;Publico;FALSE;FALSE
408;sequeira.publico.pt/2019;Publico;FALSE;FALSE
409;static.publico.clix.pt/2019;Publico;FALSE;FALSE
410;static.publico.pt/2019;Publico;FALSE;FALSE
411;stream.publico.pt/2019;Publico;FALSE;FALSE
412;tempo.publico.clix.pt/2019;Publico;FALSE;FALSE
413;tempo.publico.pt/2019;Publico;FALSE;FALSE
414;tracker.publico.pt/2019;Publico;FALSE;FALSE
415;trofeu.publico.pt/2019;Publico;FALSE;FALSE
416;tv.publico.clix.pt/2019;Publico;FALSE;FALSE
417;ultimahora.publico.clix.pt/2019;Publico;FALSE;FALSE
418;ultimahora.publico.pt/2019;Publico;FALSE;FALSE
419;ultraleve.publico.pt/2019;Publico;FALSE;FALSE
420;uol.publico.pt/2019;Publico;FALSE;FALSE
421;viagens.publico.pt/2019;Publico;FALSE;FALSE
422;videos.publico.clix.pt/2019;Publico;FALSE;FALSE
423;videos.publico.pt/2019;Publico;FALSE;FALSE
424;webmail.publico.pt/2019;Publico;FALSE;FALSE
425;ww2.publico.clix.pt/2019;Publico;FALSE;FALSE
426;ww2.publico.pt/2019;Publico;FALSE;FALSE
427;publico.pt/2020;Publico;FALSE;FALSE
428;publico.clix.pt/2020;Publico;FALSE;FALSE
429;30segundos.publico.pt/2020;Publico;FALSE;FALSE
430;a.publico.pt/2020;Publico;FALSE;FALSE
431;acervo.publico.pt/2020;Publico;FALSE;FALSE
432;anuncios.publico.pt/2020;Publico;FALSE;FALSE
433;api.publico.pt/2020;Publico;FALSE;FALSE
434;arte.publico.pt/2020;Publico;FALSE;FALSE
435;assinaturas.publico.pt/2020;Publico;FALSE;FALSE
436;astronomia.publico.pt/2020;Publico;FALSE;FALSE
437;backoffice.cidades.publico.pt/2020;Publico;FALSE;FALSE
438;banners.publico.pt/2020;Publico;FALSE;FALSE
439;bd.publico.pt/2020;Publico;FALSE;FALSE
440;beta.publico.pt/2020;Publico;FALSE;FALSE
441;blogs.publico.clix.pt/2020;Publico;FALSE;FALSE
442;blogs.publico.pt/2020;Publico;FALSE;FALSE
443;blogues.publico.pt/2020;Publico;FALSE;FALSE
444;bo.p24.publico.pt/2020;Publico;FALSE;FALSE
445;bussola.publico.pt/2020;Publico;FALSE;FALSE
446;cidades.publico.pt/2020;Publico;FALSE;FALSE
447;cientistas.publico.pt/2020;Publico;FALSE;FALSE
448;cinecartaz.publico.clix.pt/2020;Publico;FALSE;FALSE
449;cinecartaz.publico.pt/2020;Publico;FALSE;FALSE
450;classificados.publico.clix.pt/2020;Publico;FALSE;FALSE
451;coleccoes.publico.clix.pt/2020;Publico;FALSE;FALSE
452;coleccoes.publico.pt/2020;Publico;FALSE;FALSE
453;comentarios.publico.pt/2020;Publico;FALSE;FALSE
454;comunique.publico.pt/2020;Publico;FALSE;FALSE
455;convites.publico.pt/2020;Publico;FALSE;FALSE
456;data.publico.pt/2020;Publico;FALSE;FALSE
457;desporto.publico.clix.pt/2020;Publico;FALSE;FALSE
458;desporto.publico.pt/2020;Publico;FALSE;FALSE
459;dev.publico.pt/2020;Publico;FALSE;FALSE
460;digital.publico.clix.pt/2020;Publico;FALSE;FALSE
461;digital.publico.pt/2020;Publico;FALSE;FALSE
462;dossiers.publico.clix.pt/2020;Publico;FALSE;FALSE
463;dossiers.publico.pt/2020;Publico;FALSE;FALSE
464;ebookmagnum.publico.pt/2020;Publico;FALSE;FALSE
465;economia.publico.clix.pt/2020;Publico;FALSE;FALSE
466;economia.publico.pt/2020;Publico;FALSE;FALSE
